IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
172.67.120.45,187,216,202,0
104.25.186.180,184,236,202,0
104.25.245.165,187,245,202,0
104.22.1.20,180,222,202,0
104.25.81.41,192,208,202,0
104.25.109.204,192,222,202,0
104.22.27.38,189,215,202,0
172.67.52.99,180,222,202,0
104.23.131.2,193,219,202,0
104.27.50.135,189,219,202,0
104.24.132.198,185,229,202,0
104.27.1.207,178,224,202,0
104.27.195.160,190,223,202,0
104.27.47.6,193,217,203,0
104.27.9.15,184,220,203,0
104.22.79.43,185,220,203,0
104.24.73.47,186,225,203,0
104.27.21.194,182,225,203,0
104.27.84.214,182,325,203,0
104.22.35.204,183,241,203,0
104.24.32.5,185,218,203,0
104.24.179.33,196,212,203,0
104.22.2.254,189,232,203,0
104.27.124.127,179,239,203,0
104.27.70.32,192,217,203,0
104.27.32.200,184,230,203,0
104.27.7.123,188,246,203,0
104.25.66.152,192,214,203,0
162.159.160.193,184,230,203,0
104.27.111.202,183,248,203,0
104.24.79.116,183,223,204,0
104.25.22.244,187,232,204,0
172.64.68.87,193,221,204,0
104.27.26.164,181,223,204,0
104.25.127.4,185,218,204,0
104.25.6.185,192,253,204,0
162.159.34.161,191,247,204,0
104.20.15.183,181,238,204,0
104.24.75.152,188,219,204,0
104.25.158.58,194,226,204,0
104.22.7.131,202,206,204,0
104.22.39.102,192,215,204,0
104.25.71.27,190,223,204,0
104.25.113.102,189,220,204,0
104.22.29.117,188,254,204,0
104.24.153.129,191,230,205,0
104.25.102.103,194,221,205,0
104.25.95.255,191,237,205,0
104.24.137.178,182,251,205,0
104.27.20.120,172,264,205,0
104.24.211.208,185,216,205,0
104.25.217.113,191,219,205,0
104.25.92.36,196,217,205,0
104.24.131.41,189,248,205,0
104.25.80.28,190,240,205,0
104.24.30.253,187,237,205,0
172.67.39.2,185,229,205,0
172.67.74.182,191,247,206,0
104.25.164.123,190,261,207,0
